职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
大数据开发工程师,1.6万-2.6万 · 14薪,杭州-滨江,3-5年,本科,数据中台、数据建模、实时数仓、Hadoop、Hive、Spark、MySQL、HBase、SQL Server,亚信科技,http://jobs.zhaopin.com/CC139131340J40481239611.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据测试工程师,1万-1.2万,杭州-余杭,经验不限,大专,大数据,杭州星溢科技有限公司,http://jobs.zhaopin.com/CCL1351874340J40239737602.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据开发（有银行经验皆可）,1.5万-1.9万,杭州-萧山,5-10年,本科,银行经验,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40489926706.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据开发工程师,1.5万-1.7万,杭州-滨江,3-5年,大专,Java,山东智和创信息技术有限公司,http://jobs.zhaopin.com/CC461476710J40467080904.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
研究院-大数据算法实习生,300-350/天,杭州-滨江,无经验,硕士,Python、数据库、数据挖掘,杭州海康威视数字技术股份有限公司,http://jobs.zhaopin.com/CC120975580J40591720815.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
ETL开发岗,1.5万-2.5万 · 15薪,杭州-上城,1-3年,本科,MySQL、Python,大地期货有限公司,http://jobs.zhaopin.com/CC163471810J40575394015.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
算法工程师（AI 大数据 图像 智能车）,2万-4万 · 16薪,杭州-滨江,无经验,本科,,外企德科,http://jobs.zhaopin.com/CC138117190J40499946805.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据工程师,1.2万-2万,杭州-富阳,经验不限,硕士,大数据,银江技术股份有限公司,http://jobs.zhaopin.com/CCL1388477410J40464286213.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
数据库开发(杭州 周末双休),1.2万-2万 · 13薪,杭州-滨江,3-5年,本科,Oracle、Hadoop、SparkSQL,北京联龙博通电子商务技术有限公司,http://jobs.zhaopin.com/CC120407450J40364449007.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据产品经理（有tob经验）,1万-1.6万,杭州-滨江,经验不限,本科,TO B,博彦科技,http://jobs.zhaopin.com/CC000163970J40513239103.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
数据分析（BI工程师）,1万-1.4万,杭州-滨江,3-5年,大专,FineBI、FineReport,北京宝信科技有限公司,http://jobs.zhaopin.com/CC697433520J40520621609.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据开发,1.6万-1.8万,杭州-萧山,5-10年,本科,Oracle、数据迁移,上海浩方信息技术有限公司南京分公司,http://jobs.zhaopin.com/CC871883930J40495542711.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据开发工程师（统本）,1.3万-1.8万,杭州-上城,3-5年,本科,数据中台、数仓开发、Hive、Spark,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40500159010.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
数据分析（BI工程师）,1.3万-1.4万,杭州-滨江,3-5年,大专,数据可视化、FineBI、FineReport,北京宝信科技有限公司,http://jobs.zhaopin.com/CC697433520J40520625009.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
BI报表开发（线上面试）,1.3万-1.8万,杭州-滨江,3-5年,大专,报表开发、SQL、SQL Server、Hive、ETL、帆软、FINEBI,博彦科技,http://jobs.zhaopin.com/CC000163970J40481525403.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据运维岗位,1.4万-1.9万,杭州-萧山,3-5年,本科,Hadoop、Spark、HBase、Flink、Java、Python、FLINK+HOLO,润和软件,http://jobs.zhaopin.com/CC171774410J40545900214.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
报表开发工程师,1.4万-1.6万,杭州-上城,1-3年,本科,报表开发、SQL、ETL、FineReport、BI,上海吉信科光电信息技术有限公司,http://jobs.zhaopin.com/CC494109230J40205742813.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据算法工程师,1.6万-2.4万 · 14薪,杭州-余杭,3-5年,本科,深度学习,威星智能,http://jobs.zhaopin.com/CC198524320J40545735212.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
"大数据开发(浙商银行，统本,银行/财务/资产负债经验)",1.4万-1.6万,杭州-萧山,5-10年,本科,ETL、数据建模、银行,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40510896910.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
ETL开发工程师,1.2万-1.8万,杭州-余杭,3-5年,本科,SQL、Python、Kettle、Oracle、MySQL、数据开发,浙江鸿程计算机系统有限公司,http://jobs.zhaopin.com/CC135288900J40394310308.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据开发工程师,1.1万-2.2万,杭州-拱墅,5-10年,本科,Python、Shell、Hadoop、Hive、DATAWORKS、MaxCompute、Spark、保险行业、OTS,北京灵信互动信息技术有限公司,http://jobs.zhaopin.com/CC139562960J40492506910.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据运维工程师,1.5万-1.8万,杭州-萧山,3-5年,本科,Hadoop,紫金支点,http://jobs.zhaopin.com/CC134171900J40419867411.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
浙江省邮电工程建设有限公司—博士后（通信、大数据、智慧城市方向）,3万-3.5万,杭州-上城,经验不限,博士,通信设计、大数据、智慧城市、云计算、智慧平台,智联猎头,http://jobs.zhaopin.com/CCL1318355140J40477589703.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
Java开发（学信本~大数据经验优先）,1.7万-2万,杭州-萧山,3-5年,本科,Spring、MySQL,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40504170210.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
科研助理,5千-1万,杭州-西湖,经验不限,大专,大数据、软件行业,浙江大学,http://jobs.zhaopin.com/CC199796410J40480579304.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
Python大数据分析特训营课程HZ/培训招生,8千-1万 · 13薪,杭州-拱墅,经验不限,大专,模具设计、工装设计、机械零部件设计、机械外观设计、机械结构设计、机械仿真设计、机械电路设计、机械装配设计,51Testing,http://jobs.zhaopin.com/CC145362720J40364996402.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
帆软BI开发工程师,1.3万-1.5万,杭州-滨江,3-5年,本科,报表开发、数据可视化、FineBI、SQL、MySQL、HANA、FineReport、看板开发、帆软,博彦科技,http://jobs.zhaopin.com/CC000163970J40475496503.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据开发-外派福建宁德（宁德时代）,1.3万-1.4万 · 13薪,杭州-滨江,5-10年,本科,Hadoop、Flink、Spark,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40488348416.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
ETL工程师（杭州）(J10978),1万-1.5万,杭州-萧山,1-3年,本科,ETL、DataStage、Kettle、DB2、数据开发、报表开发、Informatica、FineBI,先进数通,http://jobs.zhaopin.com/CC000432190J40262686816.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
大数据高级架构师,3万-4万,杭州-拱墅,3-5年,本科,数据治理、数据架构、数据中台、数仓开发、数据平台开发,杭州客原网络科技集团有限公司,http://jobs.zhaopin.com/CCL1477245810J40474552413.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9
